sport_event_id,sport_event,event,sport,sport_id,weight_category_sport,season,collective_sport,gender_category
386,"Rowing,Coxless Pairs, Men","Coxless Pairs, Men",Rowing,7,False,Summer,True,Men
387,"Rowing,Quadruple Sculls, Men","Quadruple Sculls, Men",Rowing,7,False,Summer,True,Men
388,"Rowing,Eights, Women","Eights, Women",Rowing,7,False,Summer,True,Women
389,"Swimming,4 × 100 metres Freestyle Relay, Women","4 × 100 metres Freestyle Relay, Women",Swimming,6,False,Summer,True,Women
390,"Swimming,4 × 200 metres Freestyle Relay, Women","4 × 200 metres Freestyle Relay, Women",Swimming,6,False,Summer,True,Women
391,"Tennis,Doubles, Women","Doubles, Women",Tennis,8,False,Summer,True,Women
392,"Freestyle Skiing,Moguls, Women","Moguls, Women",Freestyle Skiing,43,False,Winter,False,Women
393,"Ice Hockey,Ice Hockey, Men","Ice Hockey, Men",Ice Hockey,56,False,Winter,True,Men
394,"Speed Skating,500 metres, Women","500 metres, Women",Speed Skating,44,False,Winter,False,Women
395,"Speed Skating,1,000 metres, Women","1,000 metres, Women",Speed Skating,44,False,Winter,False,Women
396,"Speed Skating,3,000 metres, Women","3,000 metres, Women",Speed Skating,44,False,Winter,False,Women
397,"Canoe Sprint,Kayak Doubles, 500 metres, Women","Kayak Doubles, 500 metres, Women",Canoe Sprint,24,False,Summer,True,Women
398,"Canoe Sprint,Kayak Fours, 500 metres, Women","Kayak Fours, 500 metres, Women",Canoe Sprint,24,False,Summer,True,Women
399,"Modern Pentathlon,Individual, Women","Individual, Women",Modern Pentathlon,26,False,Summer,False,Women
400,"Trampolining,Individual, Women","Individual, Women",Trampolining,52,False,Summer,False,Women
401,"Biathlon,12.5 kilometres Pursuit, Men","12.5 kilometres Pursuit, Men",Biathlon,47,False,Winter,False,Men
402,"Biathlon,10 kilometres Pursuit, Women","10 kilometres Pursuit, Women",Biathlon,47,False,Winter,False,Women
403,"Nordic Combined,Sprint, Men","Sprint, Men",Nordic Combined,54,False,Winter,False,Men
404,"Short Track Speed Skating,500 metres, Women","500 metres, Women",Short Track Speed Skating,57,False,Winter,False,Women
405,"Short Track Speed Skating,1,500 metres, Women","1,500 metres, Women",Short Track Speed Skating,57,False,Winter,False,Women
406,"Speed Skating,1,500 metres, Women","1,500 metres, Women",Speed Skating,44,False,Winter,False,Women
407,"Canoe Sprint,Kayak Doubles, 500 metres, Men","Kayak Doubles, 500 metres, Men",Canoe Sprint,24,False,Summer,True,Men
408,"Canoe Sprint,Kayak Fours, 1,000 metres, Men","Kayak Fours, 1,000 metres, Men",Canoe Sprint,24,False,Summer,True,Men
409,"Cycling Track,500 metres Time Trial, Women","500 metres Time Trial, Women",Cycling Track,10,False,Summer,False,Women
410,"Rowing,Coxless Pairs, Women","Coxless Pairs, Women",Rowing,7,False,Summer,True,Women
411,"Rowing,Quadruple Sculls, Women","Quadruple Sculls, Women",Rowing,7,False,Summer,True,Women
412,"Shooting,Running Target, 10 metres, Men","Running Target, 10 metres, Men",Shooting,5,False,Summer,False,Men
413,"Biathlon,12.5 kilometres Mass Start, Women","12.5 kilometres Mass Start, Women",Biathlon,47,False,Winter,False,Women
414,"Biathlon,4 × 6 kilometres Relay, Women","4 × 6 kilometres Relay, Women",Biathlon,47,False,Winter,True,Women
415,"Short Track Speed Skating,1,000 metres, Women","1,000 metres, Women",Short Track Speed Skating,57,False,Winter,False,Women
416,"Rowing,Coxless Fours, Men","Coxless Fours, Men",Rowing,7,False,Summer,True,Men
417,"Biathlon,15 kilometres Mass Start, Men","15 kilometres Mass Start, Men",Biathlon,47,False,Winter,False,Men
418,"Cross Country Skiing,Team Sprint, Women","Team Sprint, Women",Cross Country Skiing,42,False,Winter,True,Women
419,"Athletics,Pole Vault, Women","Pole Vault, Women",Athletics,1,False,Summer,False,Women
420,"Canoe Sprint,Kayak Doubles, 200 metres, Men","Kayak Doubles, 200 metres, Men",Canoe Sprint,24,False,Summer,True,Men
421,"Cycling Track,Team Pursuit, Women","Team Pursuit, Women",Cycling Track,10,False,Summer,True,Women
422,"Cycling Track,Omnium, Women","Omnium, Women",Cycling Track,10,False,Summer,False,Women
423,"Biathlon,2 × 6 kilometres and 2 × 7.5 kilometres Relay, Mixed","2 × 6 kilometres and 2 × 7.5 kilometres Relay, Mixed",Biathlon,47,False,Winter,True,Mixed
424,"Short Track Speed Skating,1,500 metres, Men","1,500 metres, Men",Short Track Speed Skating,57,False,Winter,False,Men
425,"Rowing,Double Sculls, Women","Double Sculls, Women",Rowing,7,False,Summer,True,Women
426,"Speed Skating,Mass Start, Men","Mass Start, Men",Speed Skating,44,False,Winter,False,Men
427,"Speed Skating,5,000 metres, Women","5,000 metres, Women",Speed Skating,44,False,Winter,False,Women
428,"Speed Skating,Mass Start, Women","Mass Start, Women",Speed Skating,44,False,Winter,False,Women
429,"Canoe Sprint,Kayak Doubles, 1,000 metres, Men","Kayak Doubles, 1,000 metres, Men",Canoe Sprint,24,False,Summer,True,Men
430,"Canoe Sprint,Kayak Fours, 500 metres, Men","Kayak Fours, 500 metres, Men",Canoe Sprint,24,False,Summer,True,Men
431,"Canoe Sprint,Canadian Singles, 200 metres, Women","Canadian Singles, 200 metres, Women",Canoe Sprint,24,False,Summer,False,Women
432,"Canoe Sprint,Canadian Doubles, 500 metres, Women","Canadian Doubles, 500 metres, Women",Canoe Sprint,24,False,Summer,True,Women
433,"Cycling Track,Omnium, Men","Omnium, Men",Cycling Track,10,False,Summer,False,Men
434,"Rowing,Lightweight Double Sculls, Women","Lightweight Double Sculls, Women",Rowing,7,False,Summer,True,Women
435,"Shooting,Air Rifle, 10 metres, Team, Mixed","Air Rifle, 10 metres, Team, Mixed",Shooting,5,False,Summer,True,Mixed
436,"Swimming,4 × 100 metres Medley Relay, Women","4 × 100 metres Medley Relay, Women",Swimming,6,False,Summer,True,Women
437,"Swimming,4 × 100 metres Medley Relay, Mixed","4 × 100 metres Medley Relay, Mixed",Swimming,6,False,Summer,True,Mixed
438,"Freestyle Skiing,Team Aerials, Mixed","Team Aerials, Mixed",Freestyle Skiing,43,False,Winter,True,Mixed
439,"Speed Skating,Team Pursuit (6 laps), Women","Team Pursuit (6 laps), Women",Speed Skating,44,False,Winter,True,Women
440,"Taekwondo,Featherweight, Women","Featherweight, Women",Taekwondo,19,True,Summer,False,Women
441,"Shooting,Small-Bore Rifle, Three Positions, 50 metres, Open","Small-Bore Rifle, Three Positions, 50 metres, Open",Shooting,5,False,Summer,False,Open
442,"Shooting,Rapid-Fire Pistol, 25 metres, Open","Rapid-Fire Pistol, 25 metres, Open",Shooting,5,False,Summer,False,Open
443,"Diving,Platform, Women","Platform, Women",Diving,3,False,Summer,False,Women
444,"Cycling Mountain Bike,Cross-Country, Women","Cross-Country, Women",Cycling Mountain Bike,25,False,Summer,False,Women
445,"Beach Volleyball,Beach Volleyball, Women","Beach Volleyball, Women",Beach Volleyball,32,False,Summer,True,Women
446,"Cycling BMX Freestyle,Park, Men","Park, Men",Cycling BMX Freestyle,58,False,Summer,False,Men
447,"Surfing,Shortboard, Men","Shortboard, Men",Surfing,59,False,Summer,False,Men
448,"Surfing,Shortboard, Women","Shortboard, Women",Surfing,59,False,Summer,False,Women
449,"Art Competitions,Unknown Event, Open","Unknown Event, Open",Art Competitions,13,False,Summer,False,Open
450,"Athletics,80 metres Hurdles, Women","80 metres Hurdles, Women",Athletics,1,False,Summer,False,Women
451,"Cycling Track,Individual Pursuit, Women","Individual Pursuit, Women",Cycling Track,10,False,Summer,False,Women
452,"Swimming,800 metres Freestyle, Men","800 metres Freestyle, Men",Swimming,6,False,Summer,False,Men
453,"Speed Skating,10,000 metres, Men","10,000 metres, Men",Speed Skating,44,False,Winter,False,Men
454,"Shooting,Free Rifle, Three Positions, 300 metres, Open","Free Rifle, Three Positions, 300 metres, Open",Shooting,5,False,Summer,False,Open
455,"Shooting,Running Target, 50 metres, Open","Running Target, 50 metres, Open",Shooting,5,False,Summer,False,Open
456,"Weightlifting,Flyweight, Men","Flyweight, Men",Weightlifting,18,True,Summer,False,Men
457,"Judo,Open Class, Men","Open Class, Men",Judo,16,True,Summer,False,Men
